"email","meet_5","meet_6","meet_7","meet_8"
"dholmes84@smith.edu",FALSE,FALSE,TRUE,TRUE
"mmorris@smith.edu",TRUE,FALSE,FALSE,FALSE
"dhoward49@smith.edu",TRUE,TRUE,FALSE,FALSE
"jcameron@smith.edu",FALSE,TRUE,TRUE,FALSE
"jsmith@smith.edu",FALSE,TRUE,TRUE,FALSE
"vhernandez54@smith.edu",FALSE,TRUE,TRUE,TRUE
"cgardner@smith.edu",FALSE,TRUE,FALSE,FALSE
"mjohnson26@smith.edu",FALSE,FALSE,TRUE,TRUE
"mramos@smith.edu",TRUE,FALSE,FALSE,TRUE
"jpittman41@smith.edu",FALSE,FALSE,TRUE,FALSE
"cpark@smith.edu",FALSE,TRUE,FALSE,FALSE
"aweeks@smith.edu",TRUE,FALSE,FALSE,FALSE
"sjones@smith.edu",TRUE,FALSE,TRUE,FALSE
"dbryan47@smith.edu",FALSE,FALSE,FALSE,FALSE
"nbutler@smith.edu",TRUE,TRUE,TRUE,FALSE
"mschroeder@smith.edu",TRUE,TRUE,FALSE,TRUE
"jford@smith.edu",FALSE,FALSE,TRUE,TRUE
"adouglas59@smith.edu",TRUE,TRUE,TRUE,TRUE
"msmith35@smith.edu",FALSE,FALSE,FALSE,FALSE
"kmaldonado@smith.edu",TRUE,TRUE,FALSE,FALSE
"lbanks@smith.edu",TRUE,FALSE,FALSE,FALSE
"howens@smith.edu",FALSE,TRUE,TRUE,TRUE
"slawrence@smith.edu",FALSE,TRUE,FALSE,FALSE
"bjackson74@smith.edu",FALSE,FALSE,FALSE,FALSE
"kbrown15@smith.edu",FALSE,TRUE,FALSE,FALSE
"kwright@smith.edu",FALSE,FALSE,TRUE,FALSE
"jalvarado24@smith.edu",TRUE,TRUE,FALSE,FALSE
"bmurray@smith.edu",TRUE,TRUE,FALSE,FALSE
"kcarpenter@smith.edu",TRUE,TRUE,FALSE,FALSE
"nburns69@smith.edu",FALSE,TRUE,TRUE,FALSE
"mbryant@smith.edu",FALSE,TRUE,FALSE,FALSE
"mjackson@smith.edu",FALSE,FALSE,FALSE,FALSE
"kjohns@smith.edu",TRUE,TRUE,TRUE,FALSE
"kmorrison@smith.edu",TRUE,FALSE,FALSE,TRUE
"dhall17@smith.edu",FALSE,TRUE,FALSE,FALSE
"lbarnett30@smith.edu",FALSE,FALSE,TRUE,FALSE
"hgates@smith.edu",FALSE,FALSE,TRUE,FALSE
"arusso@smith.edu",TRUE,FALSE,FALSE,TRUE
"kjames@smith.edu",TRUE,TRUE,FALSE,FALSE
"mpace@smith.edu",FALSE,FALSE,FALSE,FALSE
"hjohnson46@smith.edu",FALSE,FALSE,FALSE,FALSE
"pmata83@smith.edu",FALSE,TRUE,TRUE,FALSE
"eserrano@smith.edu",FALSE,TRUE,FALSE,FALSE
"avargas39@smith.edu",TRUE,TRUE,FALSE,FALSE
"aparrish@smith.edu",FALSE,FALSE,FALSE,TRUE
"mrodriguez@smith.edu",TRUE,FALSE,TRUE,FALSE
"mthornton81@smith.edu",TRUE,FALSE,TRUE,FALSE
"srivera@smith.edu",FALSE,FALSE,FALSE,TRUE
"ajones@smith.edu",FALSE,TRUE,FALSE,FALSE
"klarson@smith.edu",FALSE,FALSE,TRUE,FALSE
