"name","meet_1","meet_2","meet_3","meet_4"
"Katrina James",FALSE,FALSE,FALSE,FALSE
"E Serrano",FALSE,FALSE,FALSE,TRUE
"Alexis Weeks",FALSE,FALSE,FALSE,FALSE
"Krystal Brown",TRUE,FALSE,FALSE,FALSE
"Deanna Holmes",FALSE,FALSE,TRUE,TRUE
"Kimberly Morrison",TRUE,FALSE,FALSE,FALSE
"Christina Park",FALSE,FALSE,FALSE,TRUE
"Margaret Smith",TRUE,FALSE,FALSE,FALSE
"Kimberly Wright",TRUE,FALSE,TRUE,TRUE
"Sydney Rivera",TRUE,FALSE,TRUE,TRUE
"B Jackson",FALSE,FALSE,FALSE,FALSE
"A Vargas",TRUE,FALSE,TRUE,FALSE
"Jasmine Alvarado",FALSE,FALSE,TRUE,FALSE
"M Thornton",TRUE,FALSE,FALSE,FALSE
"Ashley Russo",TRUE,TRUE,FALSE,TRUE
"Heidi Johnson",FALSE,FALSE,FALSE,FALSE
"B Murray",FALSE,TRUE,FALSE,FALSE
"Mary Johnson",TRUE,FALSE,TRUE,FALSE
"Samantha Lawrence",FALSE,FALSE,FALSE,FALSE
"Nancy Burns",TRUE,FALSE,TRUE,TRUE
"Michelle Morris",FALSE,FALSE,TRUE,FALSE
"Jessica Pittman",TRUE,TRUE,FALSE,FALSE
"K Larson",FALSE,TRUE,FALSE,FALSE
"Megan Ramos",FALSE,FALSE,FALSE,FALSE
"Marie Schroeder",FALSE,FALSE,TRUE,FALSE
"V Hernandez",TRUE,FALSE,TRUE,TRUE
"Jessica Cameron",FALSE,FALSE,TRUE,FALSE
"L Barnett",TRUE,FALSE,TRUE,FALSE
"K Carpenter",TRUE,TRUE,FALSE,TRUE
"A Douglas",TRUE,FALSE,FALSE,FALSE
"Donna Bryan",TRUE,TRUE,TRUE,FALSE
"Lisa Banks",TRUE,FALSE,TRUE,TRUE
"Heather Owens",FALSE,FALSE,FALSE,FALSE
"Sara Jones",FALSE,FALSE,TRUE,FALSE
"M Jackson",FALSE,FALSE,FALSE,FALSE
"Jennifer Ford",TRUE,FALSE,TRUE,FALSE
"Margaret Pace",TRUE,FALSE,FALSE,FALSE
"Jasmine Smith",TRUE,FALSE,FALSE,TRUE
"K Johns",FALSE,TRUE,TRUE,FALSE
"Anna Parrish",TRUE,FALSE,FALSE,FALSE
"C Gardner",TRUE,FALSE,FALSE,FALSE
"A Jones",FALSE,TRUE,FALSE,FALSE
"Heidi Gates",TRUE,FALSE,FALSE,FALSE
"M Bryant",TRUE,TRUE,TRUE,TRUE
"Kimberly Maldonado",TRUE,FALSE,FALSE,FALSE
"Deanna Hall",TRUE,TRUE,FALSE,FALSE
"N Butler",TRUE,TRUE,TRUE,FALSE
"Paula Mata",TRUE,TRUE,FALSE,FALSE
"M Rodriguez",TRUE,FALSE,FALSE,FALSE
"D Howard",FALSE,FALSE,TRUE,FALSE
