Week,Class,Date,Day,Topic,Readings,Due
1,FALSE,9/5/2022,Mon,,,
1,1,9/7/2022,Wed,Introduction,,
1,2,9/9/2022,Fri,What is Data?,"<a href=""/intro_to_data_science_reader/syllabus/"">Class Syllabus</a>","<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfzRweef4yf5jbMT0eoU5lFSPJo3iZAVZ46-qX4m2rCnBzbSw/viewform?usp=sf_link"">Welcome Survey</a>;<a href=""https://docs.google.com/forms/d/e/1FAIpQLSeVYP1QSdPFXi9PSyjvbDcs-mZnzHT498x94h-dAdTBj25Tng/viewform?usp=sf_link"">Data Survey</a>;Install <a href=""https://slack.com/"">Slack</a> and join <a href=""https://smi-sds-192-03-202301.slack.com/"">class workspace</a>"
2,3,9/12/2022,Mon,Install Day,,
2,4,9/14/2022,Wed,Intro to R/R Studio,,All Software Installed
2,5,9/16/2022,Fri,LAB,,
3,6,9/19/2022,Mon,Markdown/Quatro,,
3,7,9/21/2022,Wed,Intro to git/GitHub,,
3,8,9/23/2022,Fri,LAB,,
4,9,9/26/2022,Mon,Exploratory Data Analysis,,
4,10,9/28/2022,Wed,Base R Plotting,,
4,11,9/30/2022,Fri,LAB,,
5,12,10/3/2022,Mon,Data Wrangling 1,,
5,13,10/5/2022,Wed,Data Wrangling 2,,
5,14,10/7/2022,Fri,LAB,,
6,FALSE,10/10/2022,Mon,,,
6,15,10/12/2022,Wed,Recap,,
6,16,10/14/2022,Fri,Exam/Major Project 1,,
7,17,10/17/2022,Mon,Advanced Plotting,,
7,18,10/19/2022,Wed,Functions,,
7,19,10/21/2022,Fri,LAB,,
8,20,10/24/2022,Mon,Iteration,,
8,21,10/26/2022,Wed,R Debugging Tools,,
8,22,10/28/2022,Fri,LAB,,
9,23,10/31/2022,Mon,Bash,,
9,24,11/2/2022,Wed,Advanced git/GitHub,,
9,25,11/4/2022,Fri,LAB,,
10,26,11/7/2022,Mon,Data Cleaning,,
10,27,11/9/2022,Wed,Recap,,
10,28,11/11/2022,Fri,Exam/Major Project 2,,
11,29,11/14/2022,Mon,Remote Servers & APIs,,
11,30,11/16/2022,Wed,Web Scraping,,
11,31,11/18/2022,Fri,LAB,,
12,31,11/21/2022,Mon,SQL,,
12,FALSE,11/23/2022,Wed,,,
12,FALSE,11/25/2022,Fri,,,
13,32,11/28/2022,Mon,Text as Data,,
13,33,11/30/2022,Wed,Networks as Data,,
13,34,12/2/2022,Fri,Geospatial Data,,
14,35,12/5/2022,Mon,Finals Planning/Lessons Learned,,
14,36,12/7/2022,Wed,Mountain Day Saftey Net/Flex,,
14,37,12/9/2022,Fri,Finals Work,,
15,38,12/12/2022,Mon,Finals Presentations/aRt Gallery,,
