Week,Class,Date,Day,Topic,Readings,Due,Resources
1,FALSE,9/5/2022,Mon,,,,
1,1,9/7/2022,Wed,Introduction,,,
1,2,9/9/2022,Fri,What is Data?,"[Class Syllabus](/intro_to_data_science_reader/syllabus/);[Kitchin, R., & Lauriault, T. P. (2018). Toward Critical Data Studies: Charting and Unpacking Data Assemblages and Their Work. in J. Thatcher, J. Eckert, & A. Shears (Eds.), Thinking Big Data in Geography: New Regimes, New Research (pp. 3-20). University of Nebraska Press.](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2474112)",[Welcome Survey](https://docs.google.com/forms/d/e/1FAIpQLSfzRweef4yf5jbMT0eoU5lFSPJo3iZAVZ46-qX4m2rCnBzbSw/viewform?usp=sf_link);[Data Survey](https://docs.google.com/forms/d/e/1FAIpQLSeVYP1QSdPFXi9PSyjvbDcs-mZnzHT498x94h-dAdTBj25Tng/viewform?usp=sf_link);Install [Slack](https://slack.com/) and join the [class workspace](https://smi-sds-192-03-202301.slack.com/),
2,3,9/12/2022,Mon,Install Day,,,
2,4,9/14/2022,Wed,Intro to R/R Studio,"[Irizarry, R. A. (2022). Chapter 2 R basics | Introduction to Data Science. In Introduction to Data Science.](https://rafalab.github.io/dsbook/r-basics.html#r-basics)",All Software Installed,
2,5,9/16/2022,Fri,LAB 1,,,
3,6,9/19/2022,Mon,Intro to git/GitHub,"[Bryan, J. (2018). Excuse Me, Do You Have a Moment to Talk About Version Control? American Statistician, 72(1), 20-27.](https://search-ebscohost-com.libproxy.smith.edu/login.aspx?direct=true&AuthType=ip,sso&db=asn&AN=129302223&site=ehost-live&custid=s8897501)",,
3,7,9/21/2022,Wed,Exploratory Data Analyses,"[Irizarry, R. A. (2022). Chapter 12 Robust summaries. In Introduction to Data Science.](https://rafalab.github.io/dsbook/robust-summaries.html);[**[PAGES 3-12]** Grant, R. (2019). Why visualize? in Data Visualization: Charts, Maps, and Interactive Graphics. Chapman and Hall/CRC. ](https://search-ebscohost-com.libproxy.smith.edu/login.aspx?direct=true&AuthType=ip,sso&db=nlebk&AN=1944722&site=ehost-live&custid=s8897501&ebv=EB&ppid=pp_3);[Holtz, Y., & Healy, C. (2018). The issue with pie chart in From data to Viz.](https://www.data-to-viz.com/caveat/pie.html);[Holtz, Y., & Healy, C. (2018). Venn Diagram in From data to Viz.](https://www.data-to-viz.com/graph/venn.html);[Holtz, Y., & Healy, C. (2018). Line chart in From data to Viz.](https://www.data-to-viz.com/graph/line.html);[Holtz, Y., & Healy, C. (2018). Barplot in From data to Viz.](https://www.data-to-viz.com/graph/barplot.html);[Holtz, Y., & Healy, C. (2018). Scatter plot in From data to Viz.](https://www.data-to-viz.com/graph/scatter.html);[Holtz, Y., & Healy, C. (2018). Histogram in From data to Viz.](https://www.data-to-viz.com/graph/histogram.html);[Holtz, Y., & Healy, C. (2018). The Boxplot and its pitfalls in From data to Viz.](https://www.data-to-viz.com/caveat/boxplot.html)",Lab 1;[Problem solving lab](/intro_to_data_science_reader/labs/0_problem_solving/),
3,8,9/23/2022,Fri,LAB 2,,,
4,9,9/26/2022,Mon,Tidy Data/Long-Wide,"[**[Section 6.1-6.3]** Baumer, B. S., Kaplan, D. T., & Horton, N. J. (2021). Chapter 6 Tidy data. In Modern Data Science with R. CNC Press.](https://mdsr-book.github.io/mdsr2e/ch-dataII.html)",,
4,10,9/28/2022,Wed,Aggregation and Merging,"[Ismay, C., & Kim, A. Y. (2022). Chapter 3 Data Wrangling. In Statistical Inference via Data Science. CNC Press.](https://moderndive.com/3-wrangling.html);[**[PAGES 1701-1731]** Ohm, P. (2009). Broken Promises of Privacy: Responding to the Surprising Failure of Anonymization (SSRN Scholarly Paper No. 1450006).](https://papers.ssrn.com/abstract=1450006)",Lab 2,
4,11,9/30/2022,Fri,LAB 3/Quiz 1 Open,,,
5,12,10/3/2022,Mon,Advanced Plotting,"[Reynolds, P. (2021). 5 Principles of Visual Perception in Principles of Data Visualization.](https://ucdavisdatalab.github.io/workshop_data_viz_principles/principles-of-visual-perception.html);[Irizarry, R. A. (2022). Chapter 8 ggplot2 | Introduction to Data Science. In Introduction to Data Science.](https://rafalab.github.io/dsbook/ggplot2.html);[Leo, S. (2019, March 27). Mistakes, weve drawn a few. Medium.](https://medium.economist.com/mistakes-weve-drawn-a-few-8cdd8a42d368)",,[From Data to Viz](https://www.data-to-viz.com/);[R Graphics Cookbook](https://r-graphics.org/)
