"email","meet_5","meet_6","meet_7","meet_8"
"dholmes@smith.edu",TRUE,FALSE,TRUE,TRUE
"mmorris@smith.edu",FALSE,TRUE,FALSE,FALSE
"dhoward@smith.edu",TRUE,FALSE,TRUE,FALSE
"jcameron63@smith.edu",TRUE,FALSE,TRUE,FALSE
"jsmith41@smith.edu",FALSE,FALSE,TRUE,FALSE
"vhernandez@smith.edu",TRUE,FALSE,TRUE,FALSE
"cgardner@smith.edu",FALSE,TRUE,FALSE,FALSE
"mjohnson14@smith.edu",TRUE,TRUE,FALSE,FALSE
"mramos96@smith.edu",FALSE,TRUE,FALSE,FALSE
"jpittman@smith.edu",FALSE,FALSE,TRUE,FALSE
"cpark29@smith.edu",FALSE,FALSE,FALSE,FALSE
"aweeks88@smith.edu",TRUE,FALSE,FALSE,TRUE
"sjones86@smith.edu",TRUE,FALSE,TRUE,FALSE
"dbryan@smith.edu",TRUE,FALSE,FALSE,FALSE
"nbutler@smith.edu",TRUE,FALSE,TRUE,FALSE
"mschroeder@smith.edu",TRUE,FALSE,FALSE,FALSE
"jford@smith.edu",TRUE,FALSE,FALSE,TRUE
"adouglas@smith.edu",TRUE,FALSE,TRUE,TRUE
"msmith@smith.edu",TRUE,FALSE,TRUE,FALSE
"kmaldonado59@smith.edu",TRUE,FALSE,FALSE,TRUE
"lbanks@smith.edu",FALSE,FALSE,FALSE,FALSE
"howens@smith.edu",TRUE,FALSE,FALSE,FALSE
"slawrence@smith.edu",TRUE,TRUE,TRUE,TRUE
"bjackson@smith.edu",FALSE,TRUE,FALSE,FALSE
"kbrown@smith.edu",TRUE,FALSE,FALSE,FALSE
"kwright20@smith.edu",TRUE,TRUE,FALSE,FALSE
"jalvarado@smith.edu",FALSE,TRUE,FALSE,FALSE
"bmurray32@smith.edu",FALSE,TRUE,FALSE,FALSE
"kcarpenter@smith.edu",TRUE,FALSE,FALSE,FALSE
"nburns51@smith.edu",FALSE,TRUE,FALSE,FALSE
"mbryant21@smith.edu",FALSE,TRUE,FALSE,FALSE
"mjackson@smith.edu",FALSE,TRUE,FALSE,FALSE
"kjohns@smith.edu",FALSE,TRUE,FALSE,TRUE
"kmorrison99@smith.edu",FALSE,FALSE,TRUE,TRUE
"dhall@smith.edu",FALSE,TRUE,TRUE,FALSE
"lbarnett@smith.edu",TRUE,FALSE,FALSE,TRUE
"hgates75@smith.edu",TRUE,FALSE,TRUE,TRUE
"arusso@smith.edu",TRUE,FALSE,FALSE,FALSE
"kjames57@smith.edu",TRUE,TRUE,FALSE,FALSE
"mpace@smith.edu",FALSE,TRUE,TRUE,FALSE
"hjohnson@smith.edu",FALSE,TRUE,FALSE,FALSE
"pmata42@smith.edu",FALSE,FALSE,FALSE,FALSE
"eserrano18@smith.edu",TRUE,FALSE,FALSE,FALSE
"avargas23@smith.edu",TRUE,TRUE,FALSE,FALSE
"aparrish@smith.edu",TRUE,TRUE,TRUE,FALSE
"mrodriguez@smith.edu",TRUE,TRUE,TRUE,FALSE
"mthornton77@smith.edu",FALSE,TRUE,FALSE,FALSE
"srivera@smith.edu",TRUE,FALSE,FALSE,FALSE
"ajones@smith.edu",TRUE,FALSE,FALSE,TRUE
"klarson@smith.edu",FALSE,TRUE,TRUE,TRUE
